ダウンロードした時刻：2018/10/02 11:09:05

,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),平均湿度(％),平均湿度(％),平均湿度(％),最小相対湿度(％),最小相対湿度(％),最小相対湿度(％),平均現地気圧(hPa),平均現地気圧(hPa),平均現地気圧(hPa),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),平均風速(m/s),平均風速(m/s),平均風速(m/s)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号
2017/1/1,8.3,8,1,13.0,8,1,3.9,8,1,51,8,1,36,8,1,1022.1,8,1,0,1,8,1,9.5,0,8,1,2.4,8,1
2017/1/2,8.1,8,1,13.2,8,1,4.4,8,1,56,8,1,41,8,1,1016.5,8,1,0,1,8,1,5.8,0,8,1,1.6,8,1
2017/1/3,8.7,8,1,13.9,8,1,3.9,8,1,48,8,1,27,8,1,1013.8,8,1,0,1,8,1,8.3,0,8,1,2.5,8,1
2017/1/4,9.0,8,1,12.8,8,1,5.4,8,1,44,8,1,29,8,1,1013.4,8,1,0,1,8,1,8.6,0,8,1,3.6,8,1
2017/1/5,7.2,8,1,10.7,8,1,3.6,8,1,31,8,1,22,8,1,1017.5,8,1,0,1,8,1,9.4,0,8,1,6.3,8,1
2017/1/6,4.7,8,1,8.2,8,1,0.9,8,1,39,8,1,24,8,1,1023.6,8,1,0,1,8,1,9.3,0,8,1,1.7,8,1
2017/1/7,5.2,8,1,9.9,8,1,0.3,8,1,49,8,1,37,8,1,1021.0,8,1,0,1,8,1,9.3,0,8,1,1.6,8,1
2017/1/8,5.1,8,1,7.2,8,1,2.6,8,1,67,8,1,46,8,1,1012.1,8,1,26.5,0,8,1,0.0,0,8,1,3.2,8,1
2017/1/9,7.7,8,1,10.9,8,1,5.2,8,1,77,8,1,58,8,1,1000.5,8,1,13.0,0,8,1,1.7,0,8,1,5.1,8,1
2017/1/10,9.3,8,1,12.8,8,1,6.1,8,1,49,8,1,30,8,1,1008.4,8,1,0,1,8,1,8.9,0,8,1,3.3,8,1
2017/1/11,7.4,8,1,11.0,8,1,4.0,8,1,40,8,1,27,8,1,1009.4,8,1,0,1,8,1,9.3,0,8,1,2.7,8,1
2017/1/12,7.4,8,1,11.4,8,1,2.3,8,1,50,8,1,34,8,1,1005.0,8,1,0,1,8,1,8.4,0,8,1,3.4,8,1
